name,zipcode,district
Abertamy,36235,Karlovy Vary
Úpice,54232,Trutnov
Adamov 1,67904,Blansko
Čáslav,28601,Kutná Hora
Rudolfov,37371,České Budějovice
Jeseník 1,79001,Jeseník
Čechtice,25765,Benešov
Nová Bystřice,37833,Jindřichův Hradec
Žlutice,36452,Karlovy Vary
Sušice 1,34201,Klatovy
Vodňany,38901,Strakonice
Kutná Hora 1,28401,Kutná Hora
Pěnčín u Liberce,46345,Liberec
Rozsochy,59257,Žďár nad Sázavou
Lanškroun,56301,Ústí nad Orlicí
Albrechtice u Českého Těšína,73543,Karviná
Albrechtice nad Orlicí,51722,Rychnov nad Kněžnou
Albrechtice nad Vltavou,39816,Písek
Chrastava,46331,Liberec
Břidličná,79351,Bruntál
Albrechtice v Jizerských horách,46843,Jablonec nad Nisou
Albrechtičky,74255,Nový Jičín
Prachatice,38301,Prachatice
Cheb 2,35002,Cheb
Jistebnice,39133,Tábor
Ivančice,66491,Brno-venkov
Určice,79804,Prostějov
Bratříkov,46821,Jablonec nad Nisou
Železná Ruda,34004,Klatovy
Slezské Rudoltice,79397,Bruntál
Votice,25901,Benešov
Hodkovice nad Mohelkou,46342,Jablonec nad Nisou
Klatovy 1,33901,Klatovy
Habartice u Frýdlantu,46373,Liberec
Chrastava,46331,Liberec
Bochov,36471,Karlovy Vary
Světlá Hora,79331,Bruntál
Lanškroun,56301,Ústí nad Orlicí
Habartov,35709,Sokolov
Sušice 1,34201,Klatovy
Tovačov,75101,Přerov
Kardašova Řečice,37821,Jindřichův Hradec
Josefův Důl u Jablonce nad Nisou,46844,Jablonec nad Nisou
Cheb 2,35002,Cheb
Jihlava 1,58601,Jihlava
Kamenice nad Lipou,39470,Pelhřimov
Ostrava 11,71100,Ostrava-město
Archlebov,69633,Hodonín
Pacov,39501,Pelhřimov
Jáchymov,36251,Karlovy Vary
Jamné u Jihlavy,58827,Jihlava
Břidličná,79351,Olomouc
Arnoltice u Děčína,40714,Děčín
Frýdlant v Čechách,46401,Liberec
Sokolov 1,35601,Sokolov
Vimperk,38501,Prachatice
Pecka,50782,Jičín
Prachatice,38301,Prachatice
Heřmaničky,25789,Benešov
Nový Bor,47301,Česká Lípa
Rudník u Vrchlabí,54372,Trutnov
Jindřichov u Krnova,79383,Bruntál
Ústí nad Labem 2,40002,Ústí nad Labem
Nová Bystřice,37833,Jindřichův Hradec
Aš 1,35201,Cheb
Benešov u Prahy,25601,Benešov
Chýnov,39155,Tábor
Benešov u Prahy,25601,Benešov
Náchod 1,54701,Náchod
Trutnov 1,54101,Trutnov
Kelč,75643,Vsetín
Švihov,34012,Plzeň-jih
Lesonice,67544,Třebíč
Pacov,39501,Pelhřimov
Netolice,38411,Prachatice
Šternberk 1,78501,Olomouc
Mariánské Lázně 1,35301,Cheb
Říčany u Prahy,25101,Praha-východ
Vrchotovy Janovice,25753,Benešov
Chlumec nad Cidlinou,50351,Hradec Králové
Havlíčkův Brod 1,58001,Havlíčkův Brod
Hostouň u Horšovského Týna,34525,Domažlice
Babice u Uherského Hradiště,68703,Uherské Hradiště
Bílovice nad Svitavou,66401,Brno-venkov
Zastávka u Brna,66484,Brno-venkov
Pyšely,25167,Benešov
Kamenice,25168,Benešov
Horažďovice,34101,Klatovy
Kamenice nad Lipou,39470,Pelhřimov
Plasy,33101,Plzeň-sever
Malečov,40327,Ústí nad Labem
Ústí nad Labem 2,40002,Ústí nad Labem
Letovice,67961,Blansko
Domažlice 1,34401,Domažlice
Jičín 1,50601,Jičín
Pelhřimov,39301,Pelhřimov
Libáň,50723,Jičín
Dobruška,51801,Rychnov nad Kněžnou
Hrotovice,67555,Třebíč
Světlá nad Sázavou,58291,Havlíčkův Brod
Třebelovice,67532,Třebíč
Boskovice,68001,Blansko
Kutná Hora 1,28401,Kutná Hora
Zlonice,27371,Kladno
Náchod 1,54701,Náchod
Bakov nad Jizerou,29401,Mladá Boleslav
Drahany,79861,Prostějov
Velké Meziříčí,59401,Žďár nad Sázavou
Žihle,33165,Plzeň-sever
Dražice,39131,Tábor
Klatovy 1,33901,Klatovy
Svitavy 2,56802,Svitavy
Bánov u Uherského Brodu,68754,Uherské Hradiště
Heřmaničky,25789,Benešov
Dačice,38001,Jindřichův Hradec
Prosiměřice,67161,Znojmo
Miličín,25786,Benešov
Pardubice 2,53002,Pardubice
Nový Bydžov,50401,Hradec Králové
Kostelec nad Černými Lesy,28163,Kolín
Nový Bydžov,50401,Hradec Králové
Pyšely,25167,Benešov
Chotěboř,58301,Havlíčkův Brod
Ruda nad Moravou,78963,Šumperk
Bartošovice na Moravě,74254,Nový Jičín
Rokytnice v Orlických horách,51761,Rychnov nad Kněžnou
Jičín 1,50601,Jičín
Havlíčkův Brod 1,58001,Havlíčkův Brod
Ostrava 17,71700,Ostrava-město
Šenov u Ostravy,73934,Ostrava-město
Osoblaha,79399,Bruntál
Kroměříž 1,76701,Kroměříž
Baška,73901,Frýdek-Místek
Hořice v Podkrkonoší,50801,Jičín
Líbeznice,25065,Praha-východ
Starý Kolín,28123,Kolín
Batelov,58851,Jihlava
Střevač,50722,Jičín
Úpice,54232,Trutnov
Batňovice,54237,Trutnov
Malé Svatoňovice,54234,Trutnov
Rudíkov,67505,Třebíč
Bavorov,38773,Strakonice
Hluboká nad Vltavou,37341,České Budějovice
Mikulov na Moravě,69201,Břeclav
Zdice,26751,Beroun
Kozolupy,33032,Plzeň-sever
Řevničov,27054,Rakovník
Malšice,39175,Tábor
Týn nad Vltavou 1,37501,České Budějovice
Bečov u Mostu,43526,Most
Chomutov 1,43001,Chomutov
Bečov nad Teplou,36464,Karlovy Vary
Bečváry,28143,Kolín
Bedihošť,79821,Prostějov
Jesenice u Rakovníka,27033,Rakovník
Nová Včelnice,37842,Jindřichův Hradec
Nová Včelnice,37842,Jindřichův Hradec
Benešov u Prahy,25601,Benešov
Pacov,39501,Pelhřimov
Oskava,78801,Šumperk
Lysice,67971,Blansko
Bedřichov,46812,Jablonec nad Nisou
Uhlířské Janovice,28504,Kutná Hora
Špindlerův Mlýn,54351,Trutnov
Trhové Sviny,37401,České Budějovice
Horní Stropnice,37335,České Budějovice
Jankov,25703,Benešov
Louny 1,44001,Louny
Šlapanice u Brna,66451,Brno-venkov
Liberec 1,46001,Liberec
Most 1,43401,Most
Dubí,41702,Teplice
Dubí u Teplic 1,41701,Teplice
Janovice nad Úhlavou,34021,Klatovy
Výdejní místo Běhařovice,67139,Znojmo
Kopidlno,50732,Jičín
Kopidlno,50732,Jičín
Děčín 2,40502,Děčín
Bechlín,41186,Litoměřice
Dolní Bousov,29404,Mladá Boleslav
Praha 911,19011,Hlavní město Praha
Bechyně,39165,Tábor
Bechyně,39165,Tábor
Luže,53854,Chrudim
Bolatice,74723,Opava
Jilemnice,51401,Semily
Pelhřimov,39301,Pelhřimov
Volary,38451,Prachatice
Kaplice 1,38241,Český Krumlov
Jeseník 1,79001,Jeseník
Turnov 1,51101,Semily
Ledeč nad Sázavou,58401,Havlíčkův Brod
Rychnov nad Kněžnou,51601,Rychnov nad Kněžnou
Bělá nad Radbuzou,34526,Domažlice
Bělá nad Svitavou,56905,Svitavy
Bělá pod Bezdězem,29421,Mladá Boleslav
Jevíčko,56943,Svitavy
Pecka,50782,Jičín
Děčín 2,40502,Děčín
Čistá u Rakovníka,27034,Rakovník
Chocerady,25724,Benešov
Bělčice,38743,Strakonice
Slavonice,37881,Jindřichův Hradec
Liteň,26727,Beroun
Bratronice,27363,Kladno
Mladá Vožice,39143,Tábor
Prachatice,38301,Prachatice
Lomnice u Tišnova,67923,Brno-venkov
Třebechovice pod Orebem,50346,Hradec Králové
Holice v Čechách,53401,Pardubice
Prachatice,38301,Prachatice
Pardubice 2,53002,Pardubice
Neveklov,25756,Benešov
Netvořice,25744,Benešov
Olomouc 9,77900,Olomouc
Dolany u Olomouce,78316,Olomouc
Dobříš,26301,Příbram
Sázava,28506,Benešov
Hostouň u Prahy,27353,Kladno
Bělotín,75364,Přerov
Kvasice,76821,Zlín
Náchod 1,54701,Náchod
Ostrava 30,70030,Ostrava-město
Hořičky,55205,Náchod
Heřmanice nad Labem,55212,Náchod
Most 1,43401,Most
Kolín 2,28002,Kolín
Hronov 1,54931,Náchod
Milovice nad Labem 1,28923,Nymburk
Sázava,28506,Kutná Hora
Litomyšl,57001,Svitavy
Pelhřimov,39301,Pelhřimov
Smiřice,50303,Hradec Králové
Jimramov,59242,Žďár nad Sázavou
Ždírec nad Doubravou,58263,Havlíčkův Brod
